date,discharge_cfs
2010-11-17,3390
2010-11-18,4450
2010-11-19,6000
2010-11-20,5610
2010-11-21,4680
2010-11-22,4160
2010-11-23,3630
2010-11-24,3340
2010-11-25,3180
2010-11-26,3010
2010-11-27,2840
2010-11-28,2790
2010-11-29,2670
2010-11-30,2720
2010-12-01,3850
2010-12-02,15400
2010-12-03,47900
2010-12-04,33200
2010-12-05,20600
2010-12-06,14600
2010-12-07,11200
2010-12-08,9070
2010-12-09,7490
2010-12-10,6330
2010-12-11,5570
2010-12-12,5360
2010-12-13,5100
2010-12-14,5000
2010-12-15,4090
2010-12-16,3270
2010-12-17,3650
2010-12-18,3980
2010-12-19,4360
2010-12-20,4030
2010-12-21,3830
2010-12-22,4260
2010-12-23,3870
2010-12-24,3560
2010-12-25,3590
2010-12-26,3360
2010-12-27,2700
2010-12-28,2340
2010-12-29,2710
2010-12-30,2950
2010-12-31,2810
2011-01-01,2720
2011-01-02,2790
2011-01-03,2730
2011-01-04,2650
2011-01-05,2490
2011-01-06,2460
2011-01-07,2600
2011-01-08,2600
2011-01-09,2480
2011-01-10,2210
2011-01-11,2390
2011-01-12,2340
2011-01-13,1920
2011-01-14,2260
2011-01-15,2540
2011-01-16,2570
2011-01-17,2590
2011-01-18,2590
2011-01-19,2660
2011-01-20,2600
2011-01-21,2640
2011-01-22,2310
2011-01-23,2300
2011-01-24,1410
2011-01-25,2090
2011-01-26,2270
2011-01-27,2310
2011-01-28,2520
2011-01-29,2590
2011-01-30,2400
2011-01-31,2530
2011-02-01,2440
2011-02-02,3660
2011-02-03,4660
2011-02-04,6700
2011-02-05,8030
2011-02-06,11700
2011-02-07,12400
2011-02-08,12300
2011-02-09,11100
2011-02-10,9760
2011-02-11,8430
2011-02-12,7260
2011-02-13,6490
2011-02-14,6130
2011-02-15,6810
2011-02-16,8500
2011-02-17,7900
2011-02-18,7810
2011-02-19,7530
2011-02-20,7800
2011-02-21,8320
2011-02-22,8650
2011-02-23,8250
2011-02-24,8000
2011-02-25,8840
2011-02-26,12800
2011-02-27,24100
2011-02-28,25700
2011-03-01,23600
2011-03-02,27200
2011-03-03,25600
2011-03-04,21600
2011-03-05,17200
2011-03-06,17800
2011-03-07,42400
2011-03-08,54000
2011-03-09,49700
2011-03-10,42600
2011-03-11,89200
2011-03-12,143000
2011-03-13,101000
2011-03-14,56300
2011-03-15,39700
2011-03-16,32200
2011-03-17,26900
2011-03-18,23600
2011-03-19,20000
2011-03-20,16800
2011-03-21,15200
2011-03-22,14500
2011-03-23,13800
2011-03-24,14500
2011-03-25,18600
2011-03-26,23700
2011-03-27,24200
2011-03-28,20700
2011-03-29,17400
2011-03-30,15300
2011-03-31,13800
2011-04-01,12800
2011-04-02,12300
2011-04-03,11900
2011-04-04,11100
2011-04-05,11300
2011-04-06,11700
2011-04-07,12600
2011-04-08,14800
2011-04-09,16400
2011-04-10,16800
2011-04-11,17800
2011-04-12,18700
2011-04-13,25300
2011-04-14,58300
2011-04-15,73900
2011-04-16,48500
2011-04-17,96600
2011-04-18,162000
2011-04-19,108000
2011-04-20,71300
2011-04-21,78800
2011-04-22,55800
2011-04-23,41700
2011-04-24,35000
2011-04-25,36800
2011-04-26,34900
2011-04-27,30600
2011-04-28,35700
2011-04-29,72700
2011-04-30,84100
2011-05-01,55800
2011-05-02,39200
2011-05-03,30800
2011-05-04,26600
2011-05-05,24700
2011-05-06,26300
2011-05-07,23900
2011-05-08,20400
2011-05-09,17800
2011-05-10,15700
2011-05-11,13900
2011-05-12,12300
2011-05-13,11000
2011-05-14,10400
2011-05-15,10900
2011-05-16,12000
2011-05-17,16000
2011-05-18,35100
2011-05-19,134000
2011-05-20,143000
2011-05-21,79000
2011-05-22,50800
2011-05-23,37100
2011-05-24,28700
2011-05-25,24500
2011-05-26,20700
2011-05-27,17200
2011-05-28,21200
2011-05-29,27800
2011-05-30,29200
2011-05-31,21100
2011-06-01,16600
2011-06-02,13300
2011-06-03,11100
2011-06-04,9610
2011-06-05,8560
2011-06-06,7850
2011-06-07,7130
2011-06-08,6850
2011-06-09,6520
2011-06-10,6180
2011-06-11,6000
2011-06-12,5540
2011-06-13,5830
2011-06-14,5930
2011-06-15,5700
2011-06-16,5650
2011-06-17,5600
2011-06-18,5200
2011-06-19,5150
2011-06-20,4860
2011-06-21,5410
2011-06-22,5980
2011-06-23,9700
2011-06-24,9840
2011-06-25,7470
2011-06-26,6220
2011-06-27,5240
2011-06-28,4780
2011-06-29,4530
2011-06-30,4020
2011-07-01,3720
2011-07-02,3520
2011-07-03,4070
2011-07-04,3610
2011-07-05,3590
2011-07-06,3440
2011-07-07,3240
2011-07-08,3760
2011-07-09,5120
2011-07-10,4340
2011-07-11,4210
2011-07-12,5050
2011-07-13,4600
2011-07-14,5160
2011-07-15,3480
2011-07-16,2910
2011-07-17,2720
2011-07-18,2390
2011-07-19,2240
2011-07-20,2160
2011-07-21,2140
2011-07-22,2020
2011-07-23,1820
2011-07-24,1760
2011-07-25,1850
2011-07-26,2130
2011-07-27,1850
2011-07-28,1750
2011-07-29,1850
2011-07-30,1720
2011-07-31,1640
2011-08-01,1510
2011-08-02,1430
2011-08-03,1510
2011-08-04,1480
2011-08-05,1460
2011-08-06,1410
2011-08-07,1780
2011-08-08,1840
2011-08-09,1620
2011-08-10,1650
2011-08-11,1580
2011-08-12,1550
2011-08-13,1640
2011-08-14,1930
2011-08-15,2710
2011-08-16,2640
2011-08-17,2160
